id_hãng,Hãng
1,Acura
2,Aston Martin
3,Audi
4,BMW
5,BYD
6,Baic
7,Bentley
8,Bestune
9,Bmw
10,Brilliance
11,Buick
12,Byd
13,Cadillac
14,Changan
15,Chery
16,Chevrolet
17,Chrysler
18,Citroen
19,Daewoo
20,Daihatsu
21,Dodge
22,Dongben
23,Dongfeng
24,Ferrari
25,Fiat
26,Ford
27,GMC
28,Gac
29,Gaz
30,Geely
31,Haima
32,Haval
33,Hino
34,Honda
35,Hongqi
36,Hummer
37,Hyundai
38,Infiniti
39,Isuzu
40,JRD
41,Jaecoo
42,Jaguar
43,Jeep
44,Kia
45,Lamborghini
46,LandRover
47,Landrover
48,Lexus
49,Lifan
50,Lincoln
51,Luxgen
52,Lynk Co
53,MG
54,Maserati
55,Mazda
56,McLaren
57,Mekong
58,Mercedes Benz
59,Mg
60,Mini
61,Mitsubishi
62,Nissan
63,Peugeot
64,Pontiac
65,Porsche
66,Proton
67,RAM
68,Ram
69,Renault
70,Rolls Royce
71,SYM
72,Samsung
73,Scion
74,Skoda
75,Smart
76,Ssangyong
77,Subaru
78,Suzuki
79,Tank
80,Tesla
81,Thaco
82,Tobe
83,Toyota
84,UAZ
85,VinFast
86,Vinaxuki
87,Vinfast
88,Volkswagen
89,Volvo
90,Wuling
91,Zotye
