id_phân_khúc,id_hãng,Grade
1,1,CL
2,1,MDX
3,1,ZDX
4,2,Rapide
5,3,A1
6,3,A3
7,3,A4
8,3,A5
9,3,A6
10,3,A7
11,3,A8
12,3,E-tron GT
13,3,Q2
14,3,Q3
15,3,Q5
16,3,Q6
17,3,Q7
18,3,Q8
19,3,S8
20,3,TT
21,4,1 Series
22,4,2 Series
23,4,3 Series
24,4,4 Series
25,4,5 Series
26,4,6 Series
27,4,7 Series
28,4,M4
29,4,M5
30,4,X1
31,4,X2
32,4,X3
33,4,X4
34,4,X5
35,4,X6
36,4,X7
37,4,Z4
38,4,i8
39,5,F0
40,6,Beijing X7
41,6,F6
42,6,Q7
43,7,Bentayga
44,7,Continental
45,7,Flying Spur
46,7,Mulsanne
47,8,Xiaoma
48,9,3 Series
49,9,4 Series
50,9,5 Series
51,9,7 Series
52,9,M3
53,9,M4
54,9,X3
55,9,X5
56,9,X6
57,9,X7
58,9,Z4
59,10,V7
60,11,LaCrosse
61,12,Atto
62,12,Han
63,12,M6
64,12,M9
65,12,Seal
66,12,Sealion
67,13,Escalade
68,13,SRX
69,13,STS
70,13,Seville
71,14,CX20
72,15,Khác
73,15,QQ3
74,16,Aveo
75,16,Camaro
76,16,Captiva
77,16,Colorado
78,16,Cruze
79,16,Express
80,16,Lacetti
81,16,Orlando
82,16,Spark
83,16,Trailblazer
84,16,Trax
85,16,Vivant
86,17,300C
87,18,DS3
88,19,Espero
89,19,Gentra
90,19,GentraX
91,19,Khác
92,19,Labo
93,19,Lacetti
94,19,Lanos
95,19,Leganza
96,19,Magnus
97,19,Matiz
98,19,Novus
99,19,Nubira
100,19,Super Saloon
101,19,Winstorm
102,20,Citivan
103,20,Feroza
104,20,Hijet
105,20,Terios
106,21,Caravan
107,22,DB X30
108,22,DB1021
109,22,Khác
110,22,SRM X30
111,22,Srm
112,23,Box
113,23,Khác
114,23,Mage
115,24,488
116,24,California
117,24,F8
118,24,Khác
119,24,Roma
120,24,SF90 Stradale
121,25,500
122,25,Albea
123,25,Doblo
124,25,Siena
125,26,EcoSport
126,26,Escape
127,26,Everest
128,26,Explorer
129,26,F150
130,26,F350
131,26,Fiesta
132,26,Focus
133,26,Laser
134,26,Mondeo
135,26,Mustang
136,26,Ranger
137,26,Territory
138,26,Tourneo
139,26,Transit
140,27,Yukon
141,28,M6
142,29,3308
143,29,Gazele
144,29,Khác
145,30,Coolray
146,30,Emgrand
147,30,Ex5
148,30,Khác
149,30,Monjaro
150,31,7X
151,32,H6
152,32,Jolion
153,33,300 Series
154,33,500 Series
155,33,Khác
156,34,Accord
157,34,Br V
158,34,Brio
159,34,CRV
160,34,City
161,34,Civic
162,34,Crv
163,34,HRV
164,34,Hrv
165,34,Jazz
166,34,Odyssey
167,35,E-HS9
168,35,H9
169,36,H2
170,37,Accent
171,37,Avante
172,37,Click
173,37,County
174,37,Creta
175,37,Custin
176,37,Elantra
177,37,Eon
178,37,Equus
179,37,Galloper
180,37,Genesis
181,37,Getz
182,37,Grace
183,37,Grand Starex
184,37,Grandeur
185,37,H 1
186,37,H 100
187,37,HD
188,37,I10
189,37,Khác
190,37,Kona
191,37,Libero
192,37,Mighty
193,37,Mobistar
194,37,Palisade
195,37,Porter
196,37,SantaFe
197,37,Santafe
198,37,Solati
199,37,Sonata
200,37,Starex
201,37,Stargazer
202,37,Terracan
203,37,Trajet
204,37,Tucson
205,37,Universe
206,37,Universe Xpress Luxury
207,37,Veloster
208,37,Venue
209,37,Veracruz
210,37,Verna
211,37,Xcent
212,37,eMighty
213,37,i10
214,37,i20
215,37,i30
216,38,EX
217,38,FX
218,38,G35
