id_tin_đăng,URL,Mã tin,Tên xe,Mô tả,Năm sản xuất,Giá (triệu VND),Số Km đã đi,Dung tích động cơ (lít),Tiêu thụ nhiên liệu sạch,Số cửa sạch,Số chỗ ngồi sạch,id_xuất_xứ,id_tình_trạng,id_dòng_xe,id_màu_ngoại_thất,id_màu_nội_thất,id_hệ_thống_nạp,id_hộp_số,id_dẫn_động,id_loại_nhiên_liệu,id_hãng,id_phân_khúc
1,https://bonbanh.com/xe-suzuki-super_carry_truck-1.0-mt-2022-17042,17042,Xe Suzuki Super Carry Truck 1.0 MT 2022,"Super Carry Truck 5 tạ thùng lửng được trang bị Động cơ dung tích lớn vận hàng mạnh mẽ, hệ thống giảm xóc an toàn khi phanh gấp, bổ sung nhiều tiện ích sử dụng, đặc biệt là thùng chở hàng rộng hơn, phanh tản nhiệt vào bánh trước và phanh tang trống cho bánh sau, Đèn pha bố trí cao, tạo tầm nhìn bao quát. Cần gạt phía trước 2 tốc độ, tiêu chuẩn khi thải Euro IV,...Suzuki 5 tạ là lựa chọn hàng đầu cho dòng xe tải nhẹ tại Việt Nam CHƯƠNG TRÌNH KHUYẾN MẠI CỰC SỐC TRONG THÁNG : thảm sàn , vè mưa , bìa da đựng giấy tờ, ví da , bình xăng ....... và nhiều dịch vụ hậu mãi hấp dẫn. + Khuyến mãi Thuế chước bạ hoặc 100% phí đăng kiểm + Khuyến mãi thùng bia Sapporo+ Hỗ trợ trả góp+ giao ngay chỉ với 80t5r Liên hệ Suzuki Việt Anh để được tư vấn tốt nhất và biết thông tin chi tiết .",2022,249.0,0.0,1.0,,2.0,2.0,1,1,8,11,4,341,3,6,4,78,505
2,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2022-53794,53794,Xe Toyota Land Cruiser 3.5 V6 2022,"Toyota LANDCRUISER 300 mới, nhập khẩu Nhật Bản mới 100% nội thất 2 màu Đen, Kem.- Phiên bản xe được trang bị Màn hình DVD tích hợp cam 360, 13 loa JBL, Cửa sổ trời, cốp điện, hệ thống trang bị an toàn TSS (hệ thống phanh khoảng cách, chống lệch làn đường, ga tự động chủ động, đèn pha tự động)- Xe trang bị động cơ V6 3.5L twin turbo 421 mã lực, hộp số 10 cấp 5 chế độ chạy, 2 cầu. Chìa khoá thông minh STAS/STOP, điều hoà tự động 4 vùng độc lập, ghế chỉnh điện cao cấp với 3 vị trí nhớ ghế, hộp lạnh, hệ thống đền phía trước được trang bị toàn bộ hệ thống đèn Led....",2022,4286.0,0.0,3.4,10.0,5.0,7.0,2,1,6,16,16,341,4,3,4,83,545
3,https://bonbanh.com/xe-toyota-innova-g-2.0-at-2023-73954,73954,Xe Toyota Innova G 2.0 AT 2023,"**Hỗ trợ lệ phí trước bạ trị giá 15 triệu đồng- Màu trắng ngọc trai: + 8.000.000đ- Xe có sẵn giao ngay, đủ màu- Hỗ trợ trả góp lãi suất ưu đãi, duyệt hồ sơ nhanh.- Vui lòng liên hệ trực tiếp để biết thêm thông tin, xin cảm ơn!***Trang bị: động cơ 2.0L, hộp số tự động. Trợ lực lái điện. Hệ thống âm thanh DVD/6 loa. Khóa cửa trung tâm,Cụm đèn trước LED + halogen, đèn ban ngày, đèn chờ dẫn đường,Khởi động bằng nút bấm,6 cảm biến đỗ xe.........",2023,885.0,0.0,2.0,,5.0,8.0,1,1,4,1,10,341,4,6,4,83,543
4,https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2023-74150,74150,Xe Toyota Corolla Cross 1.8G 2023,"- 2 màu nội thất: đen, đỏ nâu- Xe có sẵn giao ngay, đủ màu- Hỗ trợ trả góp lãi suất ưu đãi, guyệt hồ sơ nhanh.- Vui lòng liên hệ trực tiếp để biết thêm thông tin, xin cảm ơn!***Điều hòa tự động 2 vùng, cửa gió hàng ghế sauMàn hình cảm ứng 7 inch,Kết nối wifi,Điều khiển giọng nói,Kết nối điện thoại thông minh, Apple CarPlay/Android Auto,Hệ thống đàm thoại rảnh tayKết nối USB, AUX, Bluetooth,Dàn âm thanh 6 loaGương chiếu hậu trong chống chói tự động,Chìa khóa thông minh, khởi động bằng nút bấm",2023,754.0,0.0,1.8,,5.0,5.0,2,1,6,11,16,341,4,4,4,83,534
5,https://bonbanh.com/xe-toyota-innova-g-2.0-at-2022-87573,87573,Xe Toyota Innova G 2.0 AT 2022,"Toyota Innova G mới 100%Trang bị động cơ 2.0. Động cơ xăng, VVT-i kép, 4 xy lanh thẳng hàng, 16 van DOHC. Hệ thống điều khiển đèn tự động. Ghế lái điều chỉnh 6 hướng, Màn hình TFT 4.2-inch hiển thị đa thông tin. Điều hòa tự động 2 vùng, 8 chỗ ngồi... ---KHUYẾN MÃI, đến TOYOTA GIẢI PHÓNG nhận ngay quà khủng!!!- Những khách hàng thanh toán đầy đủ khi mua xe Toyota Innova (phiên bản G, V và Venturer) sẽ được nhận gói bảo hiểm thân vỏ Toyota 1 năm.",2022,850.0,0.0,2.0,,5.0,8.0,1,1,4,1,4,341,4,6,4,83,543
6,https://bonbanh.com/xe-suzuki-super_carry_van-blind-van-2023-97011,97011,Xe Suzuki Super Carry Van Blind Van 2023,"Suzuki Blind Van- ƯU ĐÃI LỚN trong tháng bằng tiền mặt và phụ kiện chính hãng lên đến 30 triệu- Hỗ trợ trả góp tối đa, lãi suất ưu đãi, thủ tục nhanh gọn - Xe đủ màu, giao ngay tận nơi- Tư vấn tận tâm - Nhanh tay liên hệ ngay để nhận được ưu đãi hấp dẫn nhất từ đại lý!!! ***- Động cơ 4 Xi lanh, 1L, đạt tiêu chuẩn EURO IV, phun xăng điện tử giúp tiết kệm nhiên liệu và vận hành mạnh mẽ. - Hệ thống treo siêu khỏe - thắng đĩa an tòan đảm bảo giảm xóc và tăng độ bền cho xe. - Các lá nhíp siêu khỏe và khung sường chắc chắn đảm bảo khả năng chuyên chở. Sàn xe phẳng với chiều cao hợp lý giúp chất dỡ hàng nhanh chóng và dễ dàng. **- Xe đủ màu- Chế độ bảo hành, bảo dưỡng chính hãng.",2023,299.0,0.0,1.0,7.0,5.0,2.0,1,1,9,11,4,341,3,6,4,78,506
7,https://bonbanh.com/xe-honda-crv-l-2023-101726,101726,Xe Honda CRV L 2023,"Honda CR-V 7 chỗ màu trắng phiên bản cao cấp (L) được nhập khẩu từ Thái Lan với các trang thiết bị cao cấp nhất: Toàn bộ hệ thống đèn của CR-V 2017 đều dùng bóng LED, hình cảm ứng 7 inch, cụm đồng hồ sau vô lăng dạng điện tử, cửa sổ trời Panorama.CR-V 2017 sử dụng phanh đĩa, tích hợp chống bó cứng phanh ABS, phân phối lực phanh điện tử. Hệ thống chống buồn ngủ, hệ thống cảnh báo va chạm trước, phanh giảm nhẹ va chạm, hệ thống hỗ trợ giữ làn, hệ thống cảnh báo chệch làn đường, hệ thống giảm nhẹ chệch làn đường, hệ thống ga tự động thích ứng đi kèm tính năng hỗ trợ xe chạy tốc độ thấp...Hỗ trợ 100% phí trước bạQuý khách liên hệ Honda Ô tô Tây Hồ để biết thông tin chi tiết !!!!!!!!!",2023,984.0,0.0,1.5,,5.0,7.0,1,1,6,11,16,341,4,4,4,34,159
8,https://bonbanh.com/xe-toyota-fortuner-2.7l-4x2-at-2023-135739,135739,Xe Toyota Fortuner 2.7L 4x2 AT 2023,"Toyota Fortuner 2.7V**HỖ TRỢ 30% PHÍ TRƯỚC BẠ- đủ màu- Hỗ trợ trả góp lãi suất ưu đãi- Vui lòng liên hệ trực tiếp để biết thêm thông tin, xin cảm ơn!***- Số tự động, 01 cầu, máy xăng. Xe nhập indonesia, mới 100%. Chìa khóa thông minh, ghế da, ghế lái chỉnh điện, tích hợp điều chỉnh âm thanh trên vô lăng, kết nối điện thoại thông minh,, cốp điều khiển rảnh tay, cảm biến lùi, bậc lên xuống, túi khí đôi, phanh ABS, mâm 18 ""......",2023,1229.0,0.0,2.7,,5.0,7.0,2,1,6,18,16,341,4,6,4,83,539
9,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2023-142495,142495,Xe Ford Ranger XLS 2.0L 4x2 AT 2023,"FORD RANGER XLS AT 2.0L 4x2(Số tự động 1 cầu)- Ngoại hình mới hầm hố đậm chất Mỹ, thiết kế cụm đèn chữ C kiểu F150- Nội thất rộng rãi 5 chỗ ngồi- Động cơ Diesel 2.0L mới 170 mã lực- Số tự động 6 cấp mới- Tay lái trợ lực điện- Rất tiếp kiệm dầu- An toàn ABS, EDB, kiểm soát lật xe+trọng tải, Cruise - Lim Control, khởi hành ngang dốc- 6 túi khí- Hệ thống Sync 4A, màn hình cảm ứng 10"". Kết nối Carplay, Androi Auto- Màn hình công tơ mét 8""- Hỗ trợ trả góp 80%, lãi suất chỉ từ 0.6%/tháng- Hỗ trợ đăng ký+đăng kiểm+giao xe tận nơiQuý khách vui lòng liên hệ để được hỗ trợ tốt nhất",2023,688.0,0.0,2.2,7.0,4.0,5.0,1,1,1,15,16,434,4,6,1,26,136
10,https://bonbanh.com/xe-ford-ranger-xlt-2.0l-4x4-at-2023-143308,143308,Xe Ford Ranger XLT 2.0L 4x4 AT 2023,"FORD RANGER XLT 2.0L 4x4 AT (Bản 2 cầu số tự động)- Ngoại hình hầm hố đậm chất Mỹ, mạ Crôm sang trọng- Nội thất tiện nghi- Động cơ 2.0L tăng áp 170 mã lực- Số tự động 6 cấp mới- 2 Cầu: Gài cầu điện- Trợ lực lái điện- Hỗ trợ khởi hành ngang dốc- Chìa khóa thông minh + khởi động star/stop- Màn hình cảm ứng 10"" SYNC 4A: Carplay, Androi Auto...- Hệ thống điều hòa 2 vùng khí hậu- Công tơ mét với màn hình 8""- Đèn Led trước thiết kế cụm chữ C hầm hố- Camera lùi, cảm biến lùi- Ghế da- Gương gập điện- Cruise Control - ga tự động- Lim giới hạn tốc độ tối đa- Mâm đúc 17"" thể thao",2023,830.0,0.0,2.2,7.0,4.0,5.0,1,1,1,16,16,434,4,1,1,26,136
